"id","codigo_barra","nombre","categoria","subcategoria","precio","descripcion","imagen","oferta","nuevo","mas_vendido","marca","unidad_medida","stock","estado"
,7730132000441,"ACEITE URUGUAY 900 ML","ALMACEN",,"100.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730400003884,"AGUA MATUTINA CON GAS 2.5L","BEBIDAS SIN ALCOHOL",,"65.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730400003884.jpg","no","no","no",,,,
,7730400003877,"AGUA MATUTINA S/GAS 2.5","BEBIDAS SIN ALCOHOL",,"65.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730400000388,"AGUA SALUS C/GAS 2.25L","BEBIDAS SIN ALCOHOL",,"79.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730400000159,"AGUA SALUS C/GAS.1.5L","BEBIDAS SIN ALCOHOL",,"75.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730400000159.jpg","no","no","no",,,,
,7730400000173,"AGUA SALUS S/GAS 1.5L","BEBIDAS SIN ALCOHOL",,"75.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730400000395,"AGUA SALUS S/GAS 2.25L","BEBIDAS SIN ALCOHOL",,"79.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197005047,"AGUA VITALE C/GAS 1.75 LT","BEBIDAS SIN ALCOHOL",,"55.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,77311344,"ALASKA BOX 20 UN","TABACO",,"230.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/tabaco.png","no","no","no",,,,
,77302953,"ALFAJOR TRIPLE CHOCOLATE PORTEZUELO 60","SNACKS/DULCES",,"33.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,77305749,"ALFAJOR CHOCOLATE PORTEZUELO 40G","SNACKS/DULCES",,"24.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7798183771987,"ALFAJOR HELADO GRIDO","SNACKS/DULCES",,"90.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7798183771765,"ALFAJOR HELADO SHOT UN","SNACKS/DULCES",,"85.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730974840434,"ALFAJOR MAICENA ANGELINA","SNACKS/DULCES",,"75.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730997990284,"ALFAJOR SALCHICHON GAUCHO S/AZUCAR 80G","SNACKS/DULCES",,"80.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730904810049,"ALFAJOR SIERRAS DE MINAS 60G","SNACKS/DULCES",,"80.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,89562098,"ATADO DE LEÑA","OTROS",,"66.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730354004067,"AZUCAR REFINADO PURITAS 1KG","FRUTAS/VERDURAS",,"60.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730994020052,"BANDEJA MASAS DULZURA SURTIDAS","SNACKS/DULCES",,"235.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730965260104,"BANDEJITA DE OJITOS RIKISIMA","SNACKS/DULCES",,"190.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730994020182,"BARQUILLO DOBLE","BEBIDAS SIN ALCOHOL",,"75.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730289000561,"BIDON AGUA NATIVA S/GAS 6L","BEBIDAS SIN ALCOHOL",,"135.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730289000561.jpg","no","no","no",,,,
,7730400002771,"BIDON AGUA SALUS 6.25 L","BEBIDAS SIN ALCOHOL",,"145.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730400002771.jpg","no","no","no",,,,
,7730959860174,"BIDON DE AGUA EVITA X 10 LITRO","BEBIDAS SIN ALCOHOL",,"165.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730959860259,"BIDON EVITA 7 LT.","BEBIDAS SIN ALCOHOL",,"115.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7798183770423,"BOMBON GRIDO ESCOCES 90G","SNACKS/DULCES",,"90.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,77312914,"CALIFORNIA 20","TABACO",,"220.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/tabaco.png","no","no","no",,,,
,7793147572853,"CERVEZA AMSTEL 710CC","BEBIDAS ALCOHOLICAS",,"140.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,736532049513,"CERVEZA ARETZBEER X473ML","BEBIDAS ALCOHOLICAS",,"50.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730452006451,"CERVEZA BRAHMA LATA","BEBIDAS ALCOHOLICAS",,"85.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7793147571283,"CERVEZA HEINEKEN 710ML LATA","BEBIDAS ALCOHOLICAS",,"181.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730452003757,"CERVEZA NORTEÑA 473ML","BEBIDAS ALCOHOLICAS",,"90.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730335000330,"CERVEZA NORTEÑA 970 ML.","BEBIDAS ALCOHOLICAS",,"155.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730452000435,"CERVEZA PATRICIA 1 L","BEBIDAS ALCOHOLICAS",,"180.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730452000435.jpg","no","no","no",,,,
,77302502,"CERVEZA PILSEN 1LT.","BEBIDAS ALCOHOLICAS",,"160.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/77302502.jpg","no","no","no",,,,
,7898295300195,"CERVEZA SAMBA 473ML","BEBIDAS ALCOHOLICAS",,"52.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7896052605316,"CERVEZA SCHIN 473ML","BEBIDAS ALCOHOLICAS",,"50.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
